ID,ID,O_LON,O_LAT,CLUSTER_LABEL
6411,6411,116.26885,39.926516,cluster0
7823,7823,116.3384,39.922216,cluster0
15917,15917,116.436842,39.957735,cluster0
6723,6723,116.359283,39.84945,cluster0
3232,3232,116.315428,40.031005,cluster0
8839,8839,116.3474,39.96626,cluster0
9790,9790,116.31761,39.94489,cluster0
14629,14629,116.41215,39.967916,cluster0
5532,5532,116.60975,39.92415,cluster0
12552,12552,116.35588,39.98602,cluster0
9123,9123,116.4276,39.910916,cluster0
5167,5167,116.42018,39.91756,cluster0
10981,10981,116.438348,39.942207,cluster0
11966,11966,116.343483,39.94474,cluster0
5256,5256,116.40153,39.96114,cluster0
13754,13754,116.36499,39.84499,cluster0
7231,7231,116.44158,39.99316,cluster0
16017,16017,116.482562,39.803247,cluster0
314,314,116.401416,39.97515,cluster0
11312,11312,116.203636,39.825531,cluster0
5192,5192,116.2602,39.89902,cluster0
3940,3940,116.32849,39.91612,cluster0
11475,11475,116.34835,39.89482,cluster0
7797,7797,116.296566,39.911766,cluster0
17233,17233,116.438147,39.890155,cluster0
2929,2929,116.342323,39.991921,cluster0
3096,3096,116.38177,39.86531,cluster0
9973,9973,116.2992,39.90631,cluster0
3015,3015,116.30445,39.89833,cluster0
5976,5976,116.397633,39.967566,cluster0
17388,17388,116.497383,39.8694,cluster0
11491,11491,116.40725,39.9606,cluster0
13237,13237,116.31011,39.84698,cluster0
12782,12782,116.59617,39.91114,cluster0
6018,6018,116.3928,39.8702,cluster0
4319,4319,116.30585,39.90655,cluster0
779,779,116.353332,39.887923,cluster0
7834,7834,116.449883,39.879133,cluster0
9408,9408,116.48292,39.9632,cluster0
2378,2378,116.496998,39.97501,cluster0
11168,11168,116.458258,39.906955,cluster0
8407,8407,116.45201,39.82342,cluster0
7843,7843,116.41695,39.89596,cluster0
151,151,116.471069,39.907211,cluster0
7553,7553,116.466003,39.998241,cluster0
1888,1888,116.46283,39.99632,cluster0
1287,1287,116.505,39.972366,cluster0
7556,7556,116.288973,39.91585,cluster0
10258,10258,116.366857,39.94017,cluster0
7076,7076,116.413817,39.947795,cluster0
16482,16482,116.31113,39.90987,cluster0
1567,1567,116.5062,40.01024,cluster0
6484,6484,116.467138,40.00277,cluster0
7508,7508,116.449666,40.006583,cluster0
18004,18004,116.31691,39.97492,cluster0
17611,17611,116.46467,40.01462,cluster0
1274,1274,116.43728,39.893503,cluster0
6573,6573,116.49889,39.95991,cluster0
5615,5615,116.31965,39.93825,cluster0
7290,7290,116.445082,39.953335,cluster0
612,612,116.320587,39.984757,cluster0
2847,2847,116.46153,39.86677,cluster0
8698,8698,116.571928,39.913747,cluster0
9379,9379,116.43014,39.93768,cluster0
6978,6978,116.50833,39.85962,cluster0
1566,1566,116.339088,39.975174,cluster0
15576,15576,116.368388,39.880928,cluster0
16970,16970,116.36304,39.98056,cluster0
4481,4481,116.369283,39.862933,cluster0
16663,16663,116.325951,39.89917,cluster0
4057,4057,116.41466,39.95954,cluster0
4699,4699,116.32085,39.988266,cluster0
5620,5620,116.323067,39.909672,cluster0
17639,17639,116.268295,39.903469,cluster0
9755,9755,116.49695,39.97355,cluster0
17179,17179,116.42235,39.940383,cluster0
3357,3357,116.433583,39.872922,cluster0
5211,5211,116.421837,40.036068,cluster0
10859,10859,116.33021,39.96068,cluster0
274,274,116.28995,39.91777,cluster0
18020,18020,116.37254,39.96736,cluster0
12626,12626,116.198685,39.926472,cluster0
8527,8527,116.237129,39.899677,cluster0
6588,6588,116.38402,39.95022,cluster0
15384,15384,116.45138,39.99727,cluster0
1218,1218,116.41128,39.92252,cluster0
9455,9455,116.402758,39.928078,cluster0
9906,9906,116.55273,39.93006,cluster0
2398,2398,116.32725,39.93286,cluster0
10657,10657,116.426735,39.914146,cluster0
4012,4012,116.47111,39.97803,cluster0
9195,9195,116.35098,39.917842,cluster0
16507,16507,116.375225,39.996388,cluster0
15336,15336,116.196617,39.926357,cluster0
17069,17069,116.31407,39.90629,cluster0
13375,13375,116.555033,39.905567,cluster0
13743,13743,116.201497,39.890055,cluster0
935,935,116.38082,39.85125,cluster0
11988,11988,116.434197,39.884106,cluster0
6604,6604,116.30676,40.07417,cluster0
8626,8626,116.38732,39.9539,cluster0
3371,3371,116.28588,39.86493,cluster0
16935,16935,116.245593,39.857412,cluster0
12698,12698,116.36884,39.87714,cluster0
17859,17859,116.483383,39.9183,cluster0
