,ID,O_LON,O_LAT,CLUSTER_LABEL
9,9,116.3146,39.8934,cluster2
17,17,116.3683,39.96641,cluster5
18,18,116.366715,39.933044,cluster31
19,19,116.355202,39.980404,cluster1
21,21,116.28824,39.86506,cluster24
23,23,116.304157,39.881797,cluster2
24,24,116.363516,39.9778,cluster1
25,25,116.4209,39.906216,cluster17
26,26,116.311722,39.895596,cluster2
29,29,116.45129,39.96504,cluster4
30,30,116.35945,39.9729,cluster1
34,34,116.45402,39.99961,cluster21
36,36,116.343315,39.92569,cluster12
41,41,116.36784,39.87729,cluster20
42,42,116.475627,39.929877,cluster0
44,44,116.43371,39.93491,cluster4
47,47,116.36762,39.98583,cluster1
52,52,116.43981,39.94862,cluster4
53,53,116.33274,39.96929,cluster18
54,54,116.38264,39.86776,cluster13
56,56,116.353966,39.980324,cluster1
58,58,116.382216,39.868816,cluster13
59,59,116.34315,39.92567,cluster12
60,60,116.422533,39.982033,cluster3
63,63,116.349516,39.936,cluster15
67,67,116.4216,39.93219,cluster4
68,68,116.45104,39.98855,cluster21
80,80,116.305293,39.89639,cluster2
83,83,116.323891,39.888844,cluster2
90,90,116.43079,39.92788,cluster19
91,91,116.31572,39.890308,cluster2
94,94,116.232567,39.902073,cluster30
99,99,116.328232,39.975304,cluster18
101,101,116.30995,39.883616,cluster2
102,102,116.4295,39.93985,cluster4
104,104,116.372902,39.952324,cluster16
106,106,116.439148,39.954796,cluster4
114,114,116.460865,39.931457,cluster0
117,117,116.35073,39.93121,cluster32
121,121,116.32223,39.89462,cluster2
122,122,116.363983,39.98055,cluster1
123,123,116.434245,39.9255,cluster19
124,124,116.38057,39.85517,cluster13
126,126,116.357643,39.877041,cluster20
129,129,116.389332,39.85555,cluster13
132,132,116.610928,40.053187,cluster34
137,137,116.313408,39.887272,cluster2
138,138,116.41891,39.97133,cluster10
141,141,116.46085,39.93044,cluster0
143,143,116.32659,39.99089,cluster29
148,148,116.365066,39.953683,cluster16
149,149,116.43673,39.975622,cluster4
150,150,116.471069,39.907211,cluster14
152,152,116.347343,39.915867,cluster12
154,154,116.42748,39.9373,cluster4
157,157,116.40488,39.91712,cluster7
158,158,116.340727,39.879503,cluster9
165,165,116.34958,39.9392,cluster15
166,166,116.43174,39.94064,cluster4
167,167,116.46246,39.94671,cluster4
169,169,116.440183,39.948616,cluster4
171,171,116.38071,39.85374,cluster13
174,174,116.38795,39.85747,cluster13
176,176,116.36657,39.93758,cluster35
177,177,116.33236,39.96993,cluster18
179,179,116.372866,39.931483,cluster31
185,185,116.378218,39.861815,cluster13
186,186,116.34767,39.97639,cluster1
190,190,116.46337,39.908312,cluster14
201,201,116.471687,39.907856,cluster14
203,203,116.420733,39.9112,cluster17
210,210,116.44297,39.97328,cluster4
212,212,116.43007,39.89397,cluster17
215,215,116.315872,39.883158,cluster2
217,217,116.45855,39.906782,cluster8
220,220,116.421628,39.903435,cluster17
225,225,116.3766,39.86699,cluster13
226,226,116.462677,39.978992,cluster6
237,237,116.439633,39.9256,cluster19
238,238,116.358734,39.980419,cluster1
240,240,116.507132,39.924422,cluster22
241,241,116.37868,39.97101,cluster5
243,243,116.47216,39.92961,cluster0
244,244,116.40495,39.965733,cluster10
245,245,116.334015,39.993273,cluster29
246,246,116.37883,39.887756,cluster11
247,247,116.38613,39.85549,cluster13
248,248,116.37111,39.94836,cluster16
250,250,116.607216,40.050133,cluster34
253,253,116.44921,39.95882,cluster4
257,257,116.338993,39.912283,cluster12
260,260,116.365183,39.864333,cluster13
265,265,116.35945,39.974917,cluster1
268,268,116.437233,39.953783,cluster4
270,270,116.460526,39.97892,cluster6
272,272,116.387462,39.951363,cluster16
277,277,116.338554,39.909241,cluster12
280,280,116.4203,39.93976,cluster4
281,281,116.43676,39.97299,cluster4
282,282,116.32221,39.89586,cluster2
283,283,116.36495,39.865433,cluster13
284,284,116.38165,39.869166,cluster13
286,286,116.38212,39.95002,cluster16
292,292,116.344828,39.912665,cluster12
294,294,116.430666,39.9325,cluster4
295,295,116.41808,39.98377,cluster3
302,302,116.34995,39.941383,cluster15
303,303,116.39285,39.87977,cluster11
306,306,116.313716,39.894466,cluster2
309,309,116.334068,39.886967,cluster27
310,310,116.44202,39.96079,cluster4
311,311,116.41478,39.99241,cluster3
312,312,116.346932,39.970753,cluster1
313,313,116.401416,39.97515,cluster10
317,317,116.434936,39.939756,cluster4
